  0  0  0  1 4.177E+06   90310.94       --   10
  0  0  1  1 3.315E+07   86682.63       --   10
  0  0  2  1 1.204E+08   83231.90      -0.60 11
  0  0  3  1 2.664E+08   79954.74      -0.52 11
  0  0  4  1 4.004E+08   76849.19      -0.41 11
  0  0  5  1 4.294E+08   73913.69      -0.57 11
  0  0  6  1 3.351E+08   71148.16      -0.40 11
  0  0  7  1 1.892E+08   68553.73      -0.49 11
  0  0  8  1 7.493E+07   66133.20      -0.52 11
  0  0  9  1 1.936E+07   63891.15      -0.50 11
  0  0 10  1 2.791E+06   61834.41       --   10
  0  0 11  1 1.474E+05   59972.24       --   10
  0  0 12  1 5.129E+01   58317.75       --   10
  0  0 13  1 2.530E+02   56887.57       --   10
  0  0 14  1 8.887E+00   55705.56       --   10
  0  0 15  1 2.405E-02   54800.80       --   10
  0  0 16  1 1.745E-01   54214.02       --   10
  0  0 17  1 1.130E-02   53994.07       --   10
  0  1  0  0 1.352E+06   90429.52       --   10
  0  1  0  2 2.786E+06   90162.40       --   10
  0  1  1  0 1.080E+07   86797.36       --   10
  0  1  1  2 2.211E+07   86541.82       --   10
  0  1  2  0 3.949E+07   83342.65      -0.37 11
  0  1  2  2 8.026E+07   83098.46      -0.69 11
  0  1  3  0 8.804E+07   80061.79      -0.39 11
  0  1  3  2 1.774E+08   79828.84      -0.47 11
  0  1  4  0 1.334E+08   76952.64      -0.38 11
  0  1  4  2 2.662E+08   76730.60      -0.32 11
  0  1  5  0 1.443E+08   74013.34      -0.38 11
  0  1  5  2 2.850E+08   73802.37      -0.47 11
  0  1  6  0 1.137E+08   71244.26      -0.34 11
  0  1  6  2 2.217E+08   71044.25      -0.34 11
  0  1  7  0 6.496E+07   68646.07      -0.36 11
  0  1  7  2 1.247E+08   68457.29      -0.34 11
  0  1  8  0 2.611E+07   66221.74      -0.55 11
  0  1  8  2 4.902E+07   66044.40      -0.48 11
  0  1  9  0 6.866E+06   63975.76      -0.56 11
  0  1  9  2 1.253E+07   63810.24      -0.36 11
  0  1 10  0 1.009E+06   61914.83       --   10
