  7   8   1  1.000E+00  8.110E-05  3.720E-05  1.120E-07    97900.66  1.300E+09  4.576E+07
  8   9   1  1.000E+00  1.940E-04  3.990E-05  1.110E-07    98868.56  1.250E+09  2.562E+08
  9  11   1  1.000E+00  1.370E-04  4.240E-05  1.050E-07    99812.80  1.190E+09  3.094E+08
 10  12   1  1.000E+00  2.480E-04  4.460E-05  1.070E-07   100733.51  1.140E+09  4.617E+08
 11  14   1  1.000E+00  3.470E-04  4.650E-05  9.610E-08   101631.30  1.100E+09  4.400E+08
 12  15   1  1.000E+00  2.650E-04  4.810E-05  1.050E-07   102506.03  1.060E+09  4.219E+08
 13  17   1  9.980E-01  2.090E-03  4.960E-05  9.190E-08   103358.80  1.020E+09  5.171E+08
 14  18   1  1.000E+00  2.810E-04  5.070E-05  9.700E-08   104188.72  9.800E+08  4.910E+08
 15  19   1  8.790E-01  1.210E-01  4.450E-05  1.200E-06   104994.20  9.660E+08  4.318E+08
 16  21   1  1.000E+00  2.970E-04  5.260E-05  8.680E-08   105784.26  9.120E+08  4.925E+08
 17  22   1  9.970E-01  2.680E-03  5.290E-05  1.300E-07   106549.75  8.810E+08  4.784E+08
 18  24   1  9.990E-01  4.010E-04  5.370E-05  1.040E-07   107295.36  8.510E+08  4.936E+08
 19  25   1  9.990E-01  1.030E-03  5.390E-05  1.030E-07   108019.75  8.240E+08  4.878E+08
 20  27   1  9.990E-01  6.990E-04  5.430E-05  1.030E-07   108724.69  7.980E+08  4.780E+08
 21  28   1  9.990E-01  6.630E-04  5.430E-05  1.000E-07   109409.11  7.730E+08  4.669E+08
 22  30   1  9.980E-01  2.090E-03  5.440E-05  1.100E-07   110074.80  7.510E+08  4.559E+08
 23  32   1  9.990E-01  5.330E-04  5.410E-05  1.420E-07   110720.25  7.290E+08  4.520E+08
 24  34   1  9.700E-01  2.990E-02  5.320E-05  3.610E-07   111348.77  7.200E+08  4.385E+08
 25  35   1  9.990E-01  5.020E-04  5.350E-05  1.130E-07   111955.15  6.900E+08  4.499E+08
 26  37   1  9.860E-01  1.370E-02  5.180E-05  2.840E-07   112543.42  6.770E+08  4.455E+08
 27  40   1  9.990E-01  5.660E-04  5.240E-05  7.590E-08   113115.19  6.570E+08  4.454E+08
 28  41   1  9.970E-01  2.750E-03  5.130E-05  1.270E-07   113666.81  6.430E+08  4.417E+08
 29  44   1  9.990E-01  7.750E-04  5.080E-05  6.040E-08   114200.75  6.300E+08  4.372E+08
 30  45   1  9.980E-01  1.440E-03  4.960E-05  9.510E-08   114714.88  6.180E+08  4.332E+08
 31  48   1  9.990E-01  1.230E-03  4.880E-05  6.550E-08   115210.55  6.090E+08  4.324E+08
 32  50   1  9.990E-01  1.070E-03  4.710E-05  7.270E-08   115685.51  6.020E+08  4.334E+08
 33  52   1  9.980E-01  2.000E-03  4.590E-05  6.120E-08   116140.46  5.970E+08  4.400E+08
 34  54   1  9.990E-01  9.630E-04  4.420E-05  6.350E-08   116572.39  5.940E+08  4.479E+08
 35  57   1  9.970E-01  2.790E-03  4.320E-05  5.560E-08   116980.94  5.970E+08  4.633E+08
 36  58   1  9.990E-01  9.810E-04  4.380E-05  4.800E-08   117361.52  6.020E+08  4.792E+08
 37  61   1  9.970E-01  2.860E-03  5.250E-05  4.620E-08   117711.40  6.160E+08  5.100E+08
 38  62   1  9.990E-01  1.060E-03  9.700E-05  3.970E-08   118022.62  6.370E+08  5.465E+08
 39  65   1  9.970E-01  2.700E-03  3.450E-04  3.630E-08   118286.74  6.860E+08  6.147E+08
 40  67   1  9.970E-01  7.450E-04  2.040E-03  8.100E-08   118487.95  7.860E+08  7.373E+08
 41  70   1  9.660E-01  1.500E-02  1.820E-02  9.700E-04   118607.05  9.650E+08  9.380E+08
 42  73   1  9.870E-01  1.640E-03  1.110E-02  2.840E-06   118650.59  1.100E+09  1.092E+09
 43  75   1  9.590E-01  4.550E-04  4.030E-02  1.380E-04   118667.59  1.090E+09  1.086E+09
  0   1   2  1.000E+00  4.670E-05  4.360E-06  4.310E-07    90488.00  1.870E+09  4.544E-01
  1   2   2  1.000E+00  6.050E-05  1.110E-05  4.080E-07    91631.65  1.760E+09  4.541E+01
  2   3   2  1.000E+00  7.750E-05  1.680E-05  3.920E-07    92747.56  1.660E+09  5.694E+02
  3   4   2  1.000E+00  9.650E-05  2.190E-05  3.780E-07    93837.22  1.580E+09  4.756E+04
  4   5   2  1.000E+00  1.170E-04  2.640E-05  3.650E-07    94901.45  1.500E+09  2.565E+05
  5   6   2  1.000E+00  1.410E-04  3.030E-05  3.540E-07    95940.75  1.430E+09  3.260E+06
  6   7   2  1.000E+00  1.730E-04  3.380E-05  3.440E-07    96955.50  1.360E+09  2.448E+07
  7   8   2  1.000E+00  2.260E-04  3.690E-05  3.340E-07    97945.98  1.300E+09  4.667E+07
  8   9   2  9.990E-01  4.970E-04  3.970E-05  3.320E-07    98912.43  1.250E+09  2.588E+08
  9  11   2  9.990E-01  4.140E-04  4.220E-05  3.130E-07    99855.44  1.190E+09  3.249E+08
 10  12   2  9.990E-01  6.450E-04  4.420E-05  3.160E-07   100774.74  1.140E+09  4.594E+08
 11  14   2  9.990E-01  1.280E-03  4.630E-05  2.830E-07   101671.60  1.100E+09  4.389E+08
 12  15   2  9.990E-01  7.110E-04  4.770E-05  3.050E-07   102544.87  1.060E+09  4.198E+08
 13  17   2  9.880E-01  1.210E-02  4.930E-05  2.740E-07   103397.61  1.020E+09  5.110E+08
 14  18   2  9.990E-01  7.590E-04  5.040E-05  2.810E-07   104225.37  9.780E+08  4.890E+08
 15  19   2  9.570E-01  4.310E-02  4.820E-05  7.480E-07   105029.94  9.510E+08  4.669E+08
 16  21   2  9.990E-01  8.740E-04  5.220E-05  2.570E-07   105818.89  9.120E+08  4.943E+08
 17  22   2  9.950E-01  5.310E-03  5.220E-05  3.490E-07   106582.78  8.800E+08  4.761E+08
 18  24   2  9.990E-01  1.220E-03  5.350E-05  2.410E-07   107328.16  8.520E+08  4.959E+08
 19  25   2  9.970E-01  2.500E-03  5.340E-05  2.920E-07   108051.08  8.230E+08  4.864E+08
 20  27   2  9.980E-01  2.420E-03  5.420E-05  2.240E-07   108755.86  7.990E+08  4.770E+08
 21  28   2  9.980E-01  1.710E-03  5.380E-05  2.540E-07   109438.76  7.740E+08  4.667E+08
 22  30   2  9.910E-01  9.170E-03  5.430E-05  2.420E-07   110104.83  7.540E+08  4.524E+08
 23  31   2  9.980E-01  1.440E-03  5.590E-05  2.840E-07   110748.28  7.300E+08  4.533E+08
 24  34   2  6.840E-01  3.160E-01  4.260E-05  3.340E-06   111385.15  8.280E+08  3.080E+08
 25  35   2  9.980E-01  1.440E-03  5.320E-05  2.130E-07   111981.63  6.920E+08  4.512E+08
 26  37   2  9.810E-01  1.900E-02  5.080E-05  4.850E-07   112568.03  6.790E+08  4.427E+08
 27  39   2  9.980E-01  1.750E-03  5.210E-05  2.210E-07   113140.17  6.580E+08  4.448E+08
 28  41   2  9.940E-01  5.900E-03  5.060E-05  2.770E-07   113690.25  6.450E+08  4.405E+08
 29  44   2  9.970E-01  2.580E-03  5.060E-05  1.710E-07   114224.26  6.310E+08  4.354E+08
 30  45   2  9.970E-01  3.500E-03  4.900E-05  2.120E-07   114736.90  6.200E+08  4.315E+08
 31  48   2  9.960E-01  4.430E-03  4.850E-05  1.630E-07   115232.61  6.120E+08  4.308E+08
 32  50   2  9.970E-01  2.750E-03  4.670E-05  1.800E-07   115705.97  6.040E+08  4.325E+08
 33  52   2  9.920E-01  7.900E-03  4.580E-05  1.710E-07   116160.97  6.020E+08  4.395E+08
 34  54   2  9.970E-01  2.540E-03  4.390E-05  1.590E-07   116591.05  5.970E+08  4.483E+08
 35  57   2  9.880E-01  1.170E-02  4.330E-05  2.030E-07   116999.55  6.020E+08  4.611E+08
 36  58   2  9.970E-01  2.610E-03  4.370E-05  1.360E-07   117377.98  6.050E+08  4.786E+08
 37  61   2  9.880E-01  1.210E-02  5.350E-05  1.610E-07   117727.31  6.210E+08  5.111E+08
 38  62   2  9.970E-01  2.760E-03  1.000E-04  1.140E-07   118035.99  6.350E+08  5.442E+08
 39  65   2  9.880E-01  1.180E-02  4.560E-04  5.790E-07   118298.53  6.840E+08  6.108E+08
 40  67   2  9.960E-01  1.970E-03  2.300E-03  4.750E-07   118496.22  7.820E+08  7.335E+08
 41  69   2  9.700E-01  1.050E-02  1.990E-02  3.830E-05   118611.40  9.550E+08  9.311E+08
 42  72   2  9.590E-01  3.100E-02  9.550E-03  9.780E-05   118652.84  1.100E+09  1.086E+09
 43  74   2  9.630E-01  2.710E-03  2.570E-02  8.910E-03   118668.93  1.140E+09  1.132E+09
  0   1   3  1.000E+00  8.860E-05  4.330E-06  8.490E-07    90575.18  1.860E+09  4.427E-01
  1   2   3  1.000E+00  1.190E-04  1.090E-05  8.080E-07    91715.06  1.760E+09  6.054E+01
  2   3   3  1.000E+00  1.520E-04  1.670E-05  7.760E-07    92827.71  1.660E+09  6.258E+02
