 153
      0    1    0    0      -9.646E+00    -4.612E-01    -5.261E-02     0.000E-01
      0    2    0    0      -1.003E+01    -1.075E+00     5.844E-02     0.000E-01
      0    2    0    1      -9.474E+00    -6.093E-01     3.297E-02     0.000E-01
      2    0    0    0      -1.099E+01    -1.046E+00     1.392E-01     0.000E-01
      2    0    0    1      -1.070E+01    -7.202E-01    -2.202E-01     0.000E-01
      2    0    0    2      -1.121E+01    -8.455E-01     2.172E-01     0.000E-01
      2    1    0    0      -1.113E+01    -9.797E-01    -5.760E-02     0.000E-01
      2    1    0    1      -1.097E+01    -8.567E-01     3.261E-02     0.000E-01
      2    1    0    2      -1.096E+01    -3.682E-01    -4.412E-01     0.000E-01
      2    1    2    0      -9.719E+00    -3.070E-01    -1.275E-01     0.000E-01
      0    3    0    0      -1.035E+01    -1.518E+00     9.124E-02     0.000E-01
      0    3    0    1      -9.885E+00    -1.079E+00     4.224E-02     0.000E-01
      0    3    0    2      -9.486E+00    -5.439E-01    -2.167E-02     0.000E-01
      0    3    2    0      -1.143E+01    -8.904E-01     6.691E-02     0.000E-01
      0    3    2    1      -1.087E+01    -6.966E-01     1.147E-01     0.000E-01
      2    2    0    0      -1.143E+01    -1.711E+00     8.046E-02     0.000E-01
      2    2    0    1      -1.090E+01    -1.214E+00     4.885E-02     0.000E-01
      2    2    0    2      -1.091E+01    -9.433E-01     6.395E-02     0.000E-01
      2    2    2    0      -1.004E+01    -1.045E+00     5.887E-02     0.000E-01
      2    2    2    1      -9.438E+00    -6.511E-01     4.475E-02     0.000E-01
      2    2    0    3      -1.031E+01    -1.711E+00     1.008E-01     0.000E-01
      0    4    0    0      -1.067E+01    -1.974E+00     1.217E-01     0.000E-01
      0    4    0    1      -1.019E+01    -1.524E+00     3.869E-02     0.000E-01
      0    4    0    2      -9.883E+00    -1.037E+00    -3.507E-02     0.000E-01
      0    4    2    0      -1.162E+01    -1.149E+00     6.751E-03     0.000E-01
      0    4    2    1      -1.114E+01    -8.180E-01    -4.007E-02     0.000E-01
      0    4    0    3      -9.509E+00    -5.065E-01    -9.827E-02     0.000E-01
      0    4    2    2      -1.089E+01    -6.314E-01    -3.473E-02     0.000E-01
      2    3    0    0      -1.157E+01    -2.012E+00     1.581E-01     0.000E-01
      2    3    0    1      -1.110E+01    -1.864E+00     1.700E-01     0.000E-01
      2    3    0    2      -1.087E+01    -1.208E+00     3.706E-02     0.000E-01
      2    3    2    0      -1.030E+01    -1.529E+00     1.058E-01     0.000E-01
      2    3    2    1      -9.858E+00    -1.105E+00     4.974E-02     0.000E-01
      2    3    0    3      -1.096E+01    -8.218E-01     9.406E-03     0.000E-01
      2    3    2    2      -9.451E+00    -5.712E-01    -1.846E-02     0.000E-01
      2    3    0    4      -1.014E+01    -2.244E+00     3.001E-01     0.000E-01
      2    4    0    0      -1.152E+01    -2.802E+00     3.528E-01     0.000E-01
      2    4    0    1      -1.115E+01    -2.351E+00     2.375E-01     0.000E-01
      2    4    0    2      -1.097E+01    -1.950E+00     1.945E-01     0.000E-01
      2    4    2    0      -1.047E+01    -2.212E+00     2.273E-01     0.000E-01
      2    4    2    1      -1.003E+01    -1.742E+00     1.313E-01     0.000E-01
      2    4    0    3      -1.080E+01    -1.289E+00     4.103E-02     0.000E-01
      2    4    2    2      -9.757E+00    -1.252E+00     5.316E-02     0.000E-01
