   0         1.002500000         1.002500000         1.002500000         1.002500000
   1         0.931231105         0.927052431         0.952670303         0.945345209
   2         0.865371715         0.855265097         0.902383292         0.891374689
   3         0.803476526         0.788746320         0.854982435         0.829799716
   4         0.751848806         0.725425375         0.814264800         0.781233876
   5         0.706102372         0.653625624         0.784877786         0.737840002
   6         0.659739013         0.584311801         0.762177724         0.699972333
   7         0.612384710         0.519020879         0.748851168         0.658634362
   8         0.570922039         0.447692722         0.735118851         0.618040256
   9         0.531662172         0.390520737         0.721860258         0.592410117
  10         0.492615513         0.325174555         0.705140118         0.562314104
  11         0.457194385         0.265680395         0.687041807         0.540276573
  12         0.421824754         0.208412584         0.665867562         0.518088180
  13         0.405015138         0.147707915         0.644652890         0.490622982
  14         0.394366670         0.101505846         0.623301523         0.461693820
  15         0.370459381         0.054330117         0.596973329         0.430794366
  16         0.352750869         0.030922178         0.573764417         0.405847176
  17         0.344345116         0.007376304         0.554488251         0.383670334
  18         0.348957155        -0.017111343         0.546447063         0.367225384
  19         0.364917902        -0.035428093         0.542235380         0.358936204
  20         0.375879576        -0.053553174         0.530827188         0.350852115
  21         0.375744610        -0.080257935         0.520782260         0.349977246
  22         0.377184870        -0.101055898         0.509799653         0.348565765
  23         0.374449906        -0.122106555         0.499762272         0.344140556
  24         0.373431856        -0.141693942         0.491552993         0.334971460
  25         0.372260111        -0.160781238         0.488003579         0.333203007
  26         0.369259675        -0.162936303         0.482985913         0.337059437
  27         0.361809479        -0.159828269         0.476173290         0.343282860
  28         0.354296608        -0.138935189         0.466817025         0.352118874
  29         0.336049113        -0.114793079         0.454823364         0.349752288
  30         0.322281686        -0.082281035         0.446338844         0.346939135
  31         0.304354421        -0.050969806         0.433949897         0.345083055
  32         0.298805141        -0.030699054         0.426776150         0.331579056
  33         0.301385434        -0.002680824         0.425404106         0.314273464
  34         0.299092822         0.019714014         0.426255443         0.295371065
  35         0.292284348         0.030595310         0.425266287         0.280052773
  36         0.294982831         0.040141571         0.430118033         0.263964887
  37         0.296760728         0.058440353         0.433822654         0.253813846
  38         0.304498527         0.073056887         0.439499468         0.246830430
  39         0.312737134         0.085791621         0.445984673         0.237386232
  40         0.320020083         0.101293533         0.449251671         0.235864301
  41         0.330236978         0.100019324         0.459727076         0.232371324
  42         0.344813012         0.098476779         0.472491757         0.231995876
  43         0.357968154         0.091356269         0.482837300         0.222983772
  44         0.361575727         0.084080500         0.483397571         0.217224231
  45         0.363347086         0.075233597         0.479145788         0.204772701
  46         0.366848345         0.080024441         0.481010072         0.199802107
  47         0.374751250         0.081369281         0.478534153         0.192714912
  48         0.372188671         0.078019615         0.474445786         0.190910059
  49         0.359378678         0.079591453         0.469131990         0.187881844
  50         0.338776634         0.085414292         0.460780510         0.193684035
  51         0.315403292         0.093671649         0.450850299         0.190021600
  52         0.295227995         0.092884262         0.449710451         0.186059602
  53         0.269458007         0.097710101         0.449602179         0.182327858
  54         0.239530817         0.093362844         0.449186100         0.174777129
  55         0.216709290         0.088675827         0.455378784         0.165716828
  56         0.198716714         0.087307152         0.453607762         0.153515982
  57         0.175909405         0.075605688         0.450303010         0.138564718
  58         0.156961947         0.056435754         0.442261253         0.124227323
  59         0.137655636         0.040869609         0.431089863         0.109841025
  60         0.129048391         0.034929453         0.422607110         0.089630639
  61         0.119007019         0.016894150         0.409919882         0.068112637
  62         0.107322200        -0.000889805         0.398691967         0.043772566
  63         0.095832466        -0.014275632         0.388033055         0.032361863
  64         0.081702652        -0.024336518         0.381407260         0.023594319
  65         0.076282578        -0.033728582         0.373854254         0.013315799
  66         0.073296451        -0.041776412         0.364152313         0.009420345
  67         0.064081625        -0.045992592         0.357893065         0.011486605
  68         0.051587235        -0.051756844         0.352685790         0.015814421
  69         0.052603842        -0.054021917         0.347044382         0.025312593
  70         0.045258694        -0.054786446         0.337173047         0.025802598
  71         0.038455323        -0.059652162         0.325525242         0.020887913
  72         0.037642225        -0.069717872         0.313062222         0.014895825
  73         0.038178280        -0.084977970         0.301041509         0.016021212
  74         0.038695817        -0.099391794         0.283041796         0.006469359
  75         0.039203312        -0.112244909         0.263013091         0.006758942
  76         0.030740334        -0.126622314         0.243869194         0.007909682
  77         0.014827736        -0.147918565         0.223797392         0.008088490
  78         0.007121046        -0.175962826         0.211831883         0.017454991
  79         0.005136796        -0.197550840         0.204237823         0.027160894
  80         0.011319883        -0.216216302         0.205664367         0.045412817
  81         0.004799783        -0.237187601         0.202485642         0.060235038
  82        -0.002008535        -0.263909510         0.200995791         0.066950378
  83        -0.003948237        -0.274127257         0.197038959         0.059800558
  84        -0.004279439        -0.283444805         0.193190239         0.047008333
  85         0.003815454        -0.287325633         0.190610128         0.024760206
  86         0.002297553        -0.284968183         0.187156678         0.001716740
  87        -0.001930843        -0.284881719         0.178596132        -0.023187964
  88        -0.000347452        -0.279977150         0.170848916        -0.049184075
  89         0.002043685        -0.278724179         0.167220988        -0.073108039
  90        -0.007839113        -0.272924223         0.163419995        -0.094081493
  91        -0.018466454        -0.274576908         0.158588747        -0.117672965
  92        -0.029904664        -0.271600392         0.155184254        -0.135630764
  93        -0.032617189        -0.262789053         0.154548425        -0.154178892
  94        -0.033934813        -0.251977576         0.158771235        -0.167846797
  95        -0.038212525        -0.231690271         0.163242776        -0.174569897
  96        -0.046081147        -0.208488195         0.167002419        -0.178288704
  97        -0.054797936        -0.167598242         0.171341209        -0.177146527
  98        -0.060715665        -0.138112353         0.177230875        -0.175760953
  99        -0.061801990        -0.106631013         0.181703386        -0.174761286
